ChargerType,DemandClass,AnnualEnergy_kWh,InstalledChargers,AnnualCapacity_kWh,CapacityRatio_all_classes
slow,home,476481.1521498991,508.0,48950880.0,
slow,public,1566401.9748755896,508.0,48950880.0,
slow,ALL,2042883.1270254888,508.0,48950880.0,0.04173332792026392
medium,home,11487209.104084726,2335.0,450001200.0,
medium,public,68557319.87693444,2335.0,450001200.0,
medium,ALL,80044528.98101917,2335.0,450001200.0,0.17787625673224686
fast,home,4196525.918829087,168.0,73584000.0,
fast,public,28989273.14115884,168.0,73584000.0,
fast,ALL,33185799.05998793,168.0,73584000.0,0.45099205071738324
