Metric,Value
dataset,full
annual_profit_SEK,501662323.9793718
revenue_all_chargers_SEK,706461039.4808688
grid_cost_SEK,142921925.7856912
redirection_distance_cost_SEK,1415913.3576007248
redirection_price_compensation_SEK,1894.7142050894902
redirection_total_cost_SEK,1417808.0718058143
slack_penalty_SEK,0.0
capex_chargers_SEK,21217783.68299991
capex_PV_BESS_SEK,39241197.96099998
grid_direct_kWh,79240459.55033387
grid_to_battery_kWh,4387117.79624494
grid_total_kWh,83627577.3465788
pv_direct_kWh,25220611.271938704
pv_to_battery_kWh,7207211.650746263
pv_used_total_kWh,32427822.922684968
battery_discharge_kWh,10432679.241300836
energy_redirected_kWh,1044181.5558624635
PV_panels_installed,78506.0
battery_units_installed,2438.0
max_abs_soc_gap_Jan0_Dec48_kWh,0.1570170694535875
chargers_slow_installed,225.0
energy_slow_kWh,1795939.8905257783
capacity_upper_bound_slow_kWh,21681000.0
capacity_ratio_slow,0.082834735045698
chargers_medium_installed,2171.0
energy_medium_kWh,77104792.08374566
capacity_upper_bound_medium_kWh,418395120.0
capacity_ratio_medium,0.18428702534519442
chargers_fast_installed,182.0
energy_fast_kWh,35993018.08930148
capacity_upper_bound_fast_kWh,79716000.0
capacity_ratio_fast,0.4515156065194124
