iteration,dataset,scenario,status,master_status,master_termination,master_objective_UB_SEK,base_master_objective_SEK,lp_recourse_value_SEK,mip_recourse_value_SEK,LB_candidate_SEK,best_LB_SEK,best_LB_iteration,lbbd_gap,cuts_added,cut_candidates,total_cuts,max_theta_violation_SEK,cut_strategy,max_cuts_per_iteration,mip_reconstruction_performed,mip_reconstruction_frequency,n_subproblems,n_positive_type_arcs,n_mip_positive_rows,PV_panels_installed,battery_units_installed,pv_direct_kWh,pv_to_battery_kWh,grid_to_battery_kWh,battery_discharge_kWh,master_elapsed_seconds,elapsed_seconds
1,full,with_redirection,running,ok,optimal,945576337.4470103,484984355.81602347,0.0,0.0,484984355.81602347,484984355.81602347,1,0.949704822655579,576,576,576,2486504.966712671,corepoint,all,True,2,576,4254670,0,0.0,0.0,0.0,0.0,0.0,0.0,253.81013464927673,518.398026227951
2,full,with_redirection,running,ok,optimal,934967178.838772,475442057.020006,1122017.1846511015,1121601.4235908606,476563658.44359684,484984355.81602347,1,0.9278295632147101,576,576,1152,2469314.129244607,corepoint,all,True,2,576,4254670,1726,0.0,0.0,0.0,0.0,0.0,0.0,4212.67415189743,5048.987911701202
3,full,with_redirection,running,ok,optimal,504066749.3828494,468563123.1046226,3936870.84362799,,,484984355.81602347,1,0.03934641053466216,576,576,1728,251280.20284091262,corepoint,all,False,2,576,4254670,0,0.0,0.0,0.0,0.0,0.0,0.0,4480.831547021866,9697.244473457336
4,full,with_redirection,running,ok,optimal,495463103.2483482,473040436.8667847,5504007.836999077,5502519.876367133,478542956.74315184,484984355.81602347,1,0.0216063617447895,576,576,2304,100797.10818436934,corepoint,all,True,2,576,4254670,7195,0.0,0.0,0.0,0.0,0.0,0.0,5607.958160161972,15642.847322702408
5,full,with_redirection,running,ok,optimal,488200968.8375782,479453320.4934746,4101043.9479326615,,,484984355.81602347,1,0.0066324057322271965,564,564,2868,25653.459655885596,corepoint,all,False,2,576,4254670,0,0.0,0.0,0.0,0.0,0.0,0.0,6354.981680631638,22167.399930000305
6,full,with_redirection,running,ok,optimal,485956043.321977,480368950.7621415,3929720.3700805474,3928285.0346086593,484297235.7967502,484984355.81602347,1,0.0020035440201336212,553,553,3421,14716.169382782009,corepoint,all,True,2,576,4254670,6804,0.0,0.0,0.0,0.0,0.0,0.0,5769.63704252243,28283.66194343567
7,full,with_redirection,running,ok,optimal,485587298.2757657,481169358.3235452,3941231.7102626907,3940193.0280853375,485109551.35163057,485109551.35163057,7,0.0009848227535492384,503,503,3924,4783.012626969445,corepoint,all,True,2,576,4254670,6514,0.0,0.0,0.0,0.0,0.0,0.0,5937.298472881317,34557.20423698425
8,full,with_redirection,running,ok,optimal,485537821.5965194,481026225.34691274,4227143.871739461,4226137.66632674,485252363.0132395,485252363.0132395,8,0.0005882683012758854,502,502,4426,4800.454102116475,corepoint,all,True,2,576,4254670,7042,0.0,0.0,0.0,0.0,2.3409356742989193e-05,2.1126944460547747e-05,6945.675961732864,41844.6966342926
9,full,with_redirection,running,ok,optimal,485580121.00311214,481558825.07247275,3860119.5255236016,3858945.2577707763,485417770.3302435,485417770.3302435,9,0.0003344555613572977,382,382,4808,3433.553383364706,corepoint,all,True,2,576,4254670,6511,0.0,0.0,0.0,0.0,0.0,0.0,6467.789266347885,48654.48228311539
10,full,with_redirection,converged,ok,optimal,485763925.1621878,482295040.15390575,3366018.9849725533,3364954.2145356648,485659994.3684414,485659994.3684414,10,0.00021399908362138158,390,390,5198,2043.329721547594,corepoint,all,True,2,576,4254670,6178,0.0,0.0,0.0,0.0,0.0,0.0,7870.987118721008,56869.29583692551
